"","text","polarity"
"1899","porfavor ocultan numeros contagios pais napo provincia llevaba cero contagios salio luz ocultaban ciustedadania triste realidad gobierno","Positivo"
"1900","creo quemostrarse exponiendose laidea estustedie temapor nadie sabe ciencia cierta losinsumosnecesarios losmedicos","Positivo"
"1901","devuelve iva lenin","Positivo"
"1902","deberian hospitales viendo gente clama atencion puertas gestionando traer insumos medicos pasa senores","Positivo"
"1903","bonitas fotos propagandas politicas","Positivo"
"1904"," paseando mandil puesto","Positivo"
"1905"," parece campanas politicas","Positivo"
"1906"," pone personal capacitado cargo amigos","Positivo"
"1907"," necesidad salir mandil senor ministro","Positivo"
"1908","granda seguro robar alla pura politica senores buscan igual otto","Positivo"
"1909"," fotos distancia minima metros","Positivo"
"1910","entregando viveres q campana electoral","Positivo"
"1911"," renuncia enano horas","Negativo"
"1912"," preguntoquehace ahi paul granada deberia haciendo otroas cosas","Positivo"
"1913"," chiste senores requiere atencion medica digna ustedes parecen andan campana politica salustedando sonriendo si humanos favor","Positivo"
"1914"," quieren distraer atencion olvidemos mascarillas insumos medicos precios sr granda poquito decencia poquito moral","Positivo"
"1915","sentimientos impotencia indignacion coraje mienten pueblo pueblo muere tanta indolenciase salio manos quieren reconocerloacaso quieren sacar tajadas evidentemente hecho ahora mientan ocultar informacion muertes pruebas hacernos creer cosa mejorando llevara caospor favor responsables","Positivo"
"1916","sr deberia hospitales ayustedando colegas","Positivo"
"1917"," dedicando campana politica trabajo mies ministerio vago aparece estaran haciendo tele trabajando famosa manuelas sra rocio moreno aparecia menustedo tomandose fotos desaparecido farsa sr ministro sr granda dediquense trabajo velar salusted afiliados ecuatorianos dejen andar figureteando interesan fotos interesan soluciones efectivas rapidas","Positivo"
"1918","ministro salusted usted esoesta vocero entregando viveres imagen autoridad dediquese atender necesidades poblacion equipo salusted urgente delegue delegueeeeeee entrega viveres","Positivo"
"1919"," numero contagiados debio declarar emergenciaeso va salir control gobierno quiere tomar medidas doctorasticas bajar impacto va estallar cara dios primero tarde","Positivo"
"1920"," preocupense entregando viveres viles politicos campana electoral otroas instancias gobierno","Positivo"
"1921","ahhhhh milloncitos contratado publicidad mientras trabajadores salusted siguen equipos proteccion enfermos mueren pasillos","Positivo"
"1922"," repartiendo alimentos funcion menos dentro mision delministerio salud publica","Positivo"
"1923","porfavor ocultan numeros contagios pais napo provincia llevaba cero contagios salio luz ocultaban ciustedadania triste realidad gobierno","Positivo"
"1924","creo quemostrarse exponiendose laidea estustedie temapor nadie sabe ciencia cierta losinsumosnecesarios losmedicos","Positivo"
"1925","devuelve iva lenin","Positivo"
"1926","deberian hospitales viendo gente clama atencion puertas gestionando traer insumos medicos pasa senores","Positivo"
"1927","bonitas fotos propagandas politicas","Positivo"
"1928"," paseando mandil puesto","Positivo"
"1929"," parece campanas politicas","Positivo"
"1930"," pone personal capacitado cargo amigos","Positivo"
"1931"," necesidad salir mandil senor ministro","Positivo"
"1932","granda seguro robar alla pura politica senores buscan igual otto","Positivo"
"1933"," fotos distancia minima metros","Positivo"
"1934","entregando viveres q campana electoral","Positivo"
"1935"," renuncia enano horas","Negativo"
"1936"," preguntoquehace ahi paul granada deberia haciendo otroas cosas","Positivo"
"1937"," chiste senores requiere atencion medica digna ustedes parecen andan campana politica salustedando sonriendo si humanos favor","Positivo"
"1938"," quieren distraer atencion olvidemos mascarillas insumos medicos precios sr granda poquito decencia poquito moral","Positivo"
"1939","sentimientos impotencia indignacion coraje mienten pueblo pueblo muere tanta indolenciase salio manos quieren reconocerloacaso quieren sacar tajadas evidentemente hecho ahora mientan ocultar informacion muertes pruebas hacernos creer cosa mejorando llevara caospor favor responsables","Positivo"
"1940","sr deberia hospitales ayustedando colegas","Positivo"
"1941"," dedicando campana politica trabajo mies ministerio vago aparece estaran haciendo tele trabajando famosa manuelas sra rocio moreno aparecia menustedo tomandose fotos desaparecido farsa sr ministro sr granda dediquense trabajo velar salusted afiliados ecuatorianos dejen andar figureteando interesan fotos interesan soluciones efectivas rapidas","Positivo"
"1942","ministro salusted usted esoesta vocero entregando viveres imagen autoridad dediquese atender necesidades poblacion equipo salusted urgente delegue delegueeeeeee entrega viveres","Positivo"
"1943"," numero contagiados debio declarar emergenciaeso va salir control gobierno quiere tomar medidas doctorasticas bajar impacto va estallar cara dios primero tarde","Positivo"
"1944"," preocupense entregando viveres viles politicos campana electoral otroas instancias gobierno","Positivo"
"1945","ahhhhh milloncitos contratado publicidad mientras trabajadores salusted siguen equipos proteccion enfermos mueren pasillos","Positivo"
"1946"," repartiendo alimentos funcion menos dentro mision delministerio salud publica","Positivo"
"1947","porfavor ocultan numeros contagios pais napo provincia llevaba cero contagios salio luz ocultaban ciustedadania triste realidad gobierno","Positivo"
"1948","creo quemostrarse exponiendose laidea estustedie temapor nadie sabe ciencia cierta losinsumosnecesarios losmedicos","Positivo"
"1949","devuelve iva lenin","Positivo"
"1950","deberian hospitales viendo gente clama atencion puertas gestionando traer insumos medicos pasa senores","Positivo"
"1951","bonitas fotos propagandas politicas","Positivo"
"1952"," paseando mandil puesto","Positivo"
"1953"," parece campanas politicas","Positivo"
"1954"," pone personal capacitado cargo amigos","Positivo"
"1955"," necesidad salir mandil senor ministro","Positivo"
"1956","granda seguro robar alla pura politica senores buscan igual otto","Positivo"
"1957"," fotos distancia minima metros","Positivo"
"1958","entregando viveres q campana electoral","Positivo"
"1959"," renuncia enano horas","Negativo"
"1960"," preguntoquehace ahi paul granada deberia haciendo otroas cosas","Positivo"
"1961"," chiste senores requiere atencion medica digna ustedes parecen andan campana politica salustedando sonriendo si humanos favor","Positivo"
"1962"," quieren distraer atencion olvidemos mascarillas insumos medicos precios sr granda poquito decencia poquito moral","Positivo"
"1963","sentimientos impotencia indignacion coraje mienten pueblo pueblo muere tanta indolenciase salio manos quieren reconocerloacaso quieren sacar tajadas evidentemente hecho ahora mientan ocultar informacion muertes pruebas hacernos creer cosa mejorando llevara caospor favor responsables","Positivo"
"1964","sr deberia hospitales ayustedando colegas","Positivo"
"1965"," dedicando campana politica trabajo mies ministerio vago aparece estaran haciendo tele trabajando famosa manuelas sra rocio moreno aparecia menustedo tomandose fotos desaparecido farsa sr ministro sr granda dediquense trabajo velar salusted afiliados ecuatorianos dejen andar figureteando interesan fotos interesan soluciones efectivas rapidas","Positivo"
"1966","ministro salusted usted esoesta vocero entregando viveres imagen autoridad dediquese atender necesidades poblacion equipo salusted urgente delegue delegueeeeeee entrega viveres","Positivo"
"1967"," numero contagiados debio declarar emergenciaeso va salir control gobierno quiere tomar medidas doctorasticas bajar impacto va estallar cara dios primero tarde","Positivo"
"1968"," preocupense entregando viveres viles politicos campana electoral otroas instancias gobierno","Positivo"
"1969","ahhhhh milloncitos contratado publicidad mientras trabajadores salusted siguen equipos proteccion enfermos mueren pasillos","Positivo"
"1970"," repartiendo alimentos funcion menos dentro mision delministerio salud publica","Positivo"
"1971","porfavor ocultan numeros contagios pais napo provincia llevaba cero contagios salio luz ocultaban ciustedadania triste realidad gobierno","Positivo"
"1972","creo quemostrarse exponiendose laidea estustedie temapor nadie sabe ciencia cierta losinsumosnecesarios losmedicos","Positivo"
"1973","devuelve iva lenin","Positivo"
"1974","deberian hospitales viendo gente clama atencion puertas gestionando traer insumos medicos pasa senores","Positivo"
"1975","bonitas fotos propagandas politicas","Positivo"
"1976"," paseando mandil puesto","Positivo"
"1977"," parece campanas politicas","Positivo"
"1978"," pone personal capacitado cargo amigos","Positivo"
"1979"," necesidad salir mandil senor ministro","Positivo"
"1980","granda seguro robar alla pura politica senores buscan igual otto","Positivo"
"1981"," fotos distancia minima metros","Positivo"
"1982","entregando viveres q campana electoral","Positivo"
"1983"," renuncia enano horas","Negativo"
"1984"," preguntoquehace ahi paul granada deberia haciendo otroas cosas","Positivo"
"1985"," chiste senores requiere atencion medica digna ustedes parecen andan campana politica salustedando sonriendo si humanos favor","Positivo"
"1986"," quieren distraer atencion olvidemos mascarillas insumos medicos precios sr granda poquito decencia poquito moral","Positivo"
"1987","sentimientos impotencia indignacion coraje mienten pueblo pueblo muere tanta indolenciase salio manos quieren reconocerloacaso quieren sacar tajadas evidentemente hecho ahora mientan ocultar informacion muertes pruebas hacernos creer cosa mejorando llevara caospor favor responsables","Positivo"
"1988","sr deberia hospitales ayustedando colegas","Positivo"
"1989"," dedicando campana politica trabajo mies ministerio vago aparece estaran haciendo tele trabajando famosa manuelas sra rocio moreno aparecia menustedo tomandose fotos desaparecido farsa sr ministro sr granda dediquense trabajo velar salusted afiliados ecuatorianos dejen andar figureteando interesan fotos interesan soluciones efectivas rapidas","Positivo"
"1990","ministro salusted usted esoesta vocero entregando viveres imagen autoridad dediquese atender necesidades poblacion equipo salusted urgente delegue delegueeeeeee entrega viveres","Positivo"
"1991"," numero contagiados debio declarar emergenciaeso va salir control gobierno quiere tomar medidas doctorasticas bajar impacto va estallar cara dios primero tarde","Positivo"
"1992"," preocupense entregando viveres viles politicos campana electoral otroas instancias gobierno","Positivo"
"1993","ahhhhh milloncitos contratado publicidad mientras trabajadores salusted siguen equipos proteccion enfermos mueren pasillos","Positivo"
"1994"," repartiendo alimentos funcion menos dentro mision delministerio salud publica","Positivo"
"1995","porfavor ocultan numeros contagios pais napo provincia llevaba cero contagios salio luz ocultaban ciustedadania triste realidad gobierno","Positivo"
"1996","creo quemostrarse exponiendose laidea estustedie temapor nadie sabe ciencia cierta losinsumosnecesarios losmedicos","Positivo"
"1997","devuelve iva lenin","Positivo"
"1998","deberian hospitales viendo gente clama atencion puertas gestionando traer insumos medicos pasa senores","Positivo"
"1999","bonitas fotos propagandas politicas","Positivo"
"2000"," paseando mandil puesto","Positivo"
"2001"," parece campanas politicas","Positivo"
"2002"," pone personal capacitado cargo amigos","Positivo"
"2003"," necesidad salir mandil senor ministro","Positivo"
"2004","granda seguro robar alla pura politica senores buscan igual otto","Positivo"
"2005"," fotos distancia minima metros","Positivo"
"2006","entregando viveres q campana electoral","Positivo"
"2007"," renuncia enano horas","Negativo"
"2008"," preguntoquehace ahi paul granada deberia haciendo otroas cosas","Positivo"
"2009"," chiste senores requiere atencion medica digna ustedes parecen andan campana politica salustedando sonriendo si humanos favor","Positivo"
"2010"," quieren distraer atencion olvidemos mascarillas insumos medicos precios sr granda poquito decencia poquito moral","Positivo"
"2011","sentimientos impotencia indignacion coraje mienten pueblo pueblo muere tanta indolenciase salio manos quieren reconocerloacaso quieren sacar tajadas evidentemente hecho ahora mientan ocultar informacion muertes pruebas hacernos creer cosa mejorando llevara caospor favor responsables","Positivo"
"2012","sr deberia hospitales ayustedando colegas","Positivo"
"2013"," dedicando campana politica trabajo mies ministerio vago aparece estaran haciendo tele trabajando famosa manuelas sra rocio moreno aparecia menustedo tomandose fotos desaparecido farsa sr ministro sr granda dediquense trabajo velar salusted afiliados ecuatorianos dejen andar figureteando interesan fotos interesan soluciones efectivas rapidas","Positivo"
"2014","ministro salusted usted esoesta vocero entregando viveres imagen autoridad dediquese atender necesidades poblacion equipo salusted urgente delegue delegueeeeeee entrega viveres","Positivo"
"2015"," numero contagiados debio declarar emergenciaeso va salir control gobierno quiere tomar medidas doctorasticas bajar impacto va estallar cara dios primero tarde","Positivo"
"2016"," preocupense entregando viveres viles politicos campana electoral otroas instancias gobierno","Positivo"
"2017","ahhhhh milloncitos contratado publicidad mientras trabajadores salusted siguen equipos proteccion enfermos mueren pasillos","Positivo"
"2018"," repartiendo alimentos funcion menos dentro mision delministerio salud publica","Positivo"
"2019","porfavor ocultan numeros contagios pais napo provincia llevaba cero contagios salio luz ocultaban ciustedadania triste realidad gobierno","Positivo"
"2020","creo quemostrarse exponiendose laidea estustedie temapor nadie sabe ciencia cierta losinsumosnecesarios losmedicos","Positivo"
"2021","devuelve iva lenin","Positivo"
"2022","deberian hospitales viendo gente clama atencion puertas gestionando traer insumos medicos pasa senores","Positivo"
"2023","bonitas fotos propagandas politicas","Positivo"
"2024"," paseando mandil puesto","Positivo"
"2025"," parece campanas politicas","Positivo"
"2026"," pone personal capacitado cargo amigos","Positivo"
"2027"," necesidad salir mandil senor ministro","Positivo"
"2028","granda seguro robar alla pura politica senores buscan igual otto","Positivo"
"2029"," fotos distancia minima metros","Positivo"
"2030","entregando viveres q campana electoral","Positivo"
"2031"," renuncia enano horas","Negativo"
"2032"," preguntoquehace ahi paul granada deberia haciendo otroas cosas","Positivo"
"2033"," chiste senores requiere atencion medica digna ustedes parecen andan campana politica salustedando sonriendo si humanos favor","Positivo"
"2034"," quieren distraer atencion olvidemos mascarillas insumos medicos precios sr granda poquito decencia poquito moral","Positivo"
"2035","sentimientos impotencia indignacion coraje mienten pueblo pueblo muere tanta indolenciase salio manos quieren reconocerloacaso quieren sacar tajadas evidentemente hecho ahora mientan ocultar informacion muertes pruebas hacernos creer cosa mejorando llevara caospor favor responsables","Positivo"
"2036","sr deberia hospitales ayustedando colegas","Positivo"
"2037"," dedicando campana politica trabajo mies ministerio vago aparece estaran haciendo tele trabajando famosa manuelas sra rocio moreno aparecia menustedo tomandose fotos desaparecido farsa sr ministro sr granda dediquense trabajo velar salusted afiliados ecuatorianos dejen andar figureteando interesan fotos interesan soluciones efectivas rapidas","Positivo"
"2038","ministro salusted usted esoesta vocero entregando viveres imagen autoridad dediquese atender necesidades poblacion equipo salusted urgente delegue delegueeeeeee entrega viveres","Positivo"
"2039"," numero contagiados debio declarar emergenciaeso va salir control gobierno quiere tomar medidas doctorasticas bajar impacto va estallar cara dios primero tarde","Positivo"
"2040"," preocupense entregando viveres viles politicos campana electoral otroas instancias gobierno","Positivo"
"2041","ahhhhh milloncitos contratado publicidad mientras trabajadores salusted siguen equipos proteccion enfermos mueren pasillos","Positivo"
"2042"," repartiendo alimentos funcion menos dentro mision delministerio salud publica","Positivo"
"2043","porfavor ocultan numeros contagios pais napo provincia llevaba cero contagios salio luz ocultaban ciustedadania triste realidad gobierno","Positivo"
"2044","creo quemostrarse exponiendose laidea estustedie temapor nadie sabe ciencia cierta losinsumosnecesarios losmedicos","Positivo"
"2045","devuelve iva lenin","Positivo"
"2046","deberian hospitales viendo gente clama atencion puertas gestionando traer insumos medicos pasa senores","Positivo"
"2047","bonitas fotos propagandas politicas","Positivo"
"2048"," paseando mandil puesto","Positivo"
"2049"," parece campanas politicas","Positivo"
"2050"," pone personal capacitado cargo amigos","Positivo"
"2051"," necesidad salir mandil senor ministro","Positivo"
"2052","granda seguro robar alla pura politica senores buscan igual otto","Positivo"
"2053"," fotos distancia minima metros","Positivo"
"2054","entregando viveres q campana electoral","Positivo"
"2055"," renuncia enano horas","Negativo"
"2056"," preguntoquehace ahi paul granada deberia haciendo otroas cosas","Positivo"
"2057"," chiste senores requiere atencion medica digna ustedes parecen andan campana politica salustedando sonriendo si humanos favor","Positivo"
"2058"," quieren distraer atencion olvidemos mascarillas insumos medicos precios sr granda poquito decencia poquito moral","Positivo"
"2059","sentimientos impotencia indignacion coraje mienten pueblo pueblo muere tanta indolenciase salio manos quieren reconocerloacaso quieren sacar tajadas evidentemente hecho ahora mientan ocultar informacion muertes pruebas hacernos creer cosa mejorando llevara caospor favor responsables","Positivo"
"2060","sr deberia hospitales ayustedando colegas","Positivo"
"2061"," dedicando campana politica trabajo mies ministerio vago aparece estaran haciendo tele trabajando famosa manuelas sra rocio moreno aparecia menustedo tomandose fotos desaparecido farsa sr ministro sr granda dediquense trabajo velar salusted afiliados ecuatorianos dejen andar figureteando interesan fotos interesan soluciones efectivas rapidas","Positivo"
"2062","ministro salusted usted esoesta vocero entregando viveres imagen autoridad dediquese atender necesidades poblacion equipo salusted urgente delegue delegueeeeeee entrega viveres","Positivo"
"2063"," numero contagiados debio declarar emergenciaeso va salir control gobierno quiere tomar medidas doctorasticas bajar impacto va estallar cara dios primero tarde","Positivo"
"2064"," preocupense entregando viveres viles politicos campana electoral otroas instancias gobierno","Positivo"
"2065","ahhhhh milloncitos contratado publicidad mientras trabajadores salusted siguen equipos proteccion enfermos mueren pasillos","Positivo"
"2066"," repartiendo alimentos funcion menos dentro mision delministerio salud publica","Positivo"
"2067","porfavor ocultan numeros contagios pais napo provincia llevaba cero contagios salio luz ocultaban ciustedadania triste realidad gobierno","Positivo"
"2068","creo quemostrarse exponiendose laidea estustedie temapor nadie sabe ciencia cierta losinsumosnecesarios losmedicos","Positivo"
"2069","devuelve iva lenin","Positivo"
"2070","deberian hospitales viendo gente clama atencion puertas gestionando traer insumos medicos pasa senores","Positivo"
"2071","bonitas fotos propagandas politicas","Positivo"
"2072"," paseando mandil puesto","Positivo"
"2073"," parece campanas politicas","Positivo"
"2074"," pone personal capacitado cargo amigos","Positivo"
"2075"," necesidad salir mandil senor ministro","Positivo"
"2076","granda seguro robar alla pura politica senores buscan igual otto","Positivo"
"2077"," fotos distancia minima metros","Positivo"
"2078","entregando viveres q campana electoral","Positivo"
"2079"," renuncia enano horas","Negativo"
"2080"," preguntoquehace ahi paul granada deberia haciendo otroas cosas","Positivo"
"2081"," datos realidad oh casualidad justo ayer hoy aumento menos contagiados positivos mentira senores nunca dar cifra real resulta haciendo pruebas unico hacen valorar decirte si sintomas ud coronavirus quedese casa tome compre receta medicamentos dan entonces osan decir cantidad contagios cientos personas realizado prueba diagnostico oficial","Positivo"
"2082","escribo italia italiana esposo ecuatoriano ahora atrapado alli incluso si crees datos dicen verdaderos razon quedarte casa infecciones reducen mitad gracias leyes sentido comun personas dicen mismo diciendo ahora despues semanas comenzamos cambio esperamos continue ","Positivo"
"2083"," cementerio suburbio entierre muertos misma familia haciendo huecos","Negativo"
"2084"," gente inconsciente respeta quiere salir vehiculo gente pobre porqueellos carros viendo nuevoquelos ricos andan queriendo seguir incrementando ganancias abriendo locales negocios","Positivo"
"2085"," datos sospechas deberian darse yaquese deberia pronto pruebas seguir descargando positivos negativos tenerlos sospechas muriendo gentequedespues presenta sintomas tarde realizar algun tratamiento","Positivo"
"2086"," pena tipo autoridades cargos altos menor idea pasando salgan comentarios lugar ves peor tratando personas animales hora tomen cartas asunto pongan gente preparada vale pena","Negativo"
"2087"," balance estadistico falso balances betty","Positivo"
"2088","deberian consideran seguir cuarentena tiempocaso contrario empezar va nuevo fuerza ademas cerrar entradas salidas pues escapan controles ingresan cerrar provincias afectadas cuidar resto provincias buen dia","Positivo"
"2089"," llevamos casi casos confirmados estadisticas siguen subiendo estadisticamente hablando ningenieroun sentido senores creen enganan idiotas","Positivo"
"2090","peru recuperados contagiados dias nadie recupera","Positivo"
"2091"," falsos verdad si vas hospital dices fiebre algun sintoma enseguida ingenieroresan nadie atiende mueres pena jueguen vida gente encima hacen ningenierouna prueba","Positivo"
"2092","si esforzaran registrar bien dieran cifras reales poblacion asustada tal vez cuiden ","Positivo"
"2093","espero manana repunten casos hoy gente quito salio forma inconsciente pustedieran hacerlo tomar cuanta restricciones levantado ","Positivo"
"2094"," favor especidiquen bien cuadoctoro nuesvos casos san lorenzo provincia esmeraldas enteramos otroas personas existen casos existente canto medios sale total esmeraldas san lorenzo canto deberia reflejar caustedoctoro nuevos casos covid","Neutral"
"2095"," verguenza den datos exactos ocultando informacion dan cuenta vidas humanas poniendo juego","Positivo"
"2096","ojala contagie desposar viusteda italiana razon grandedesu devastadora cifra longevidaddesus habitantesquesu numero mayorqueamerica latina","Positivo"
"2097"," sacrifiquen vidas adquieran pruebas rapidas sacrifiquen economia vidas urgente","Positivo"
"2098"," muestras restantes positivas negativas sabe pendiente resultados","Positivo"
"2099"," cuarentena toque queda siguen casos","Positivo"
"2100"," jipijapa muertes aningenierouno an hecho prueba coronavirus sale contagiado mmmm","Positivo"
"2101","yqueestan esperando anunciar toque queda horas","Positivo"
"2102","quito dia hoy parara nunca","Positivo"
"2103"," suburbio muertos afuera adentroquellevan diasde casas losquemueren hospitales afuera adentro digan vrdd q gente tome conciencia quede casa gente terca bo oculten nadaaaa virus llego punto contagio paciente aninados qur hicieron megafiesta quedarxe casa mejor opcion","Negativo"
"2104","ecuador presenta cerca casos pese densidad poblacional menor brazil chile unicamente personas fallecidas recuperados ecuador personas fallecidas unicamente recuperados ineptitusted respondan menos verdad pueden eficientes","Positivo"
"2105","cifras falsas existencia dios jajajajajajjajaja","Positivo"
"2106"," datos realidad oh casualidad justo ayer hoy aumento menos contagiados positivos mentira senores nunca dar cifra real resulta haciendo pruebas unico hacen valorar decirte si sintomas ud coronavirus quedese casa tome compre receta medicamentos dan entonces osan decir cantidad contagios cientos personas realizado prueba diagnostico oficial","Positivo"
"2107","escribo italia italiana esposo ecuatoriano ahora atrapado alli incluso si crees datos dicen verdaderos razon quedarte casa infecciones reducen mitad gracias leyes sentido comun personas dicen mismo diciendo ahora despues semanas comenzamos cambio esperamos continue ","Positivo"
"2108"," cementerio suburbio entierre muertos misma familia haciendo huecos","Negativo"
"2109"," gente inconsciente respeta quiere salir vehiculo gente pobre porqueellos carros viendo nuevoquelos ricos andan queriendo seguir incrementando ganancias abriendo locales negocios","Positivo"
"2110"," datos sospechas deberian darse yaquese deberia pronto pruebas seguir descargando positivos negativos tenerlos sospechas muriendo gentequedespues presenta sintomas tarde realizar algun tratamiento","Positivo"
"2111"," pena tipo autoridades cargos altos menor idea pasando salgan comentarios lugar ves peor tratando personas animales hora tomen cartas asunto pongan gente preparada vale pena","Negativo"
"2112"," balance estadistico falso balances betty","Positivo"
"2113","deberian consideran seguir cuarentena tiempocaso contrario empezar va nuevo fuerza ademas cerrar entradas salidas pues escapan controles ingresan cerrar provincias afectadas cuidar resto provincias buen dia","Positivo"
"2114"," llevamos casi casos confirmados estadisticas siguen subiendo estadisticamente hablando ningenieroun sentido senores creen enganan idiotas","Positivo"
"2115","peru recuperados contagiados dias nadie recupera","Positivo"
"2116"," falsos verdad si vas hospital dices fiebre algun sintoma enseguida ingenieroresan nadie atiende mueres pena jueguen vida gente encima hacen ningenierouna prueba","Positivo"
"2117","si esforzaran registrar bien dieran cifras reales poblacion asustada tal vez cuiden ","Positivo"
"2118","espero manana repunten casos hoy gente quito salio forma inconsciente pustedieran hacerlo tomar cuanta restricciones levantado ","Positivo"
"2119"," favor especidiquen bien cuadoctoro nuesvos casos san lorenzo provincia esmeraldas enteramos otroas personas existen casos existente canto medios sale total esmeraldas san lorenzo canto deberia reflejar caustedoctoro nuevos casos covid","Neutral"
"2120"," verguenza den datos exactos ocultando informacion dan cuenta vidas humanas poniendo juego","Positivo"
"2121","ojala contagie desposar viusteda italiana razon grandedesu devastadora cifra longevidaddesus habitantesquesu numero mayorqueamerica latina","Positivo"
"2122"," sacrifiquen vidas adquieran pruebas rapidas sacrifiquen economia vidas urgente","Positivo"
"2123"," muestras restantes positivas negativas sabe pendiente resultados","Positivo"
"2124"," cuarentena toque queda siguen casos","Positivo"
"2125"," jipijapa muertes aningenierouno an hecho prueba coronavirus sale contagiado mmmm","Positivo"
"2126","yqueestan esperando anunciar toque queda horas","Positivo"
"2127","quito dia hoy parara nunca","Positivo"
"2128"," suburbio muertos afuera adentroquellevan diasde casas losquemueren hospitales afuera adentro digan vrdd q gente tome conciencia quede casa gente terca bo oculten nadaaaa virus llego punto contagio paciente aninados qur hicieron megafiesta quedarxe casa mejor opcion","Negativo"
"2129","ecuador presenta cerca casos pese densidad poblacional menor brazil chile unicamente personas fallecidas recuperados ecuador personas fallecidas unicamente recuperados ineptitusted respondan menos verdad pueden eficientes","Positivo"
"2130","cifras falsas existencia dios jajajajajajjajaja","Positivo"
"2131"," datos realidad oh casualidad justo ayer hoy aumento menos contagiados positivos mentira senores nunca dar cifra real resulta haciendo pruebas unico hacen valorar decirte si sintomas ud coronavirus quedese casa tome compre receta medicamentos dan entonces osan decir cantidad contagios cientos personas realizado prueba diagnostico oficial","Positivo"
"2132","escribo italia italiana esposo ecuatoriano ahora atrapado alli incluso si crees datos dicen verdaderos razon quedarte casa infecciones reducen mitad gracias leyes sentido comun personas dicen mismo diciendo ahora despues semanas comenzamos cambio esperamos continue ","Positivo"
"2133"," cementerio suburbio entierre muertos misma familia haciendo huecos","Negativo"
"2134"," gente inconsciente respeta quiere salir vehiculo gente pobre porqueellos carros viendo nuevoquelos ricos andan queriendo seguir incrementando ganancias abriendo locales negocios","Positivo"
"2135"," datos sospechas deberian darse yaquese deberia pronto pruebas seguir descargando positivos negativos tenerlos sospechas muriendo gentequedespues presenta sintomas tarde realizar algun tratamiento","Positivo"
"2136"," pena tipo autoridades cargos altos menor idea pasando salgan comentarios lugar ves peor tratando personas animales hora tomen cartas asunto pongan gente preparada vale pena","Negativo"
"2137"," balance estadistico falso balances betty","Positivo"
"2138","deberian consideran seguir cuarentena tiempocaso contrario empezar va nuevo fuerza ademas cerrar entradas salidas pues escapan controles ingresan cerrar provincias afectadas cuidar resto provincias buen dia","Positivo"
"2139"," llevamos casi casos confirmados estadisticas siguen subiendo estadisticamente hablando ningenieroun sentido senores creen enganan idiotas","Positivo"
"2140","peru recuperados contagiados dias nadie recupera","Positivo"
"2141"," falsos verdad si vas hospital dices fiebre algun sintoma enseguida ingenieroresan nadie atiende mueres pena jueguen vida gente encima hacen ningenierouna prueba","Positivo"
"2142","si esforzaran registrar bien dieran cifras reales poblacion asustada tal vez cuiden ","Positivo"
"2143","espero manana repunten casos hoy gente quito salio forma inconsciente pustedieran hacerlo tomar cuanta restricciones levantado ","Positivo"
"2144"," favor especidiquen bien cuadoctoro nuesvos casos san lorenzo provincia esmeraldas enteramos otroas personas existen casos existente canto medios sale total esmeraldas san lorenzo canto deberia reflejar caustedoctoro nuevos casos covid","Neutral"
"2145"," verguenza den datos exactos ocultando informacion dan cuenta vidas humanas poniendo juego","Positivo"
"2146","ojala contagie desposar viusteda italiana razon grandedesu devastadora cifra longevidaddesus habitantesquesu numero mayorqueamerica latina","Positivo"
"2147"," sacrifiquen vidas adquieran pruebas rapidas sacrifiquen economia vidas urgente","Positivo"
"2148"," muestras restantes positivas negativas sabe pendiente resultados","Positivo"
"2149"," cuarentena toque queda siguen casos","Positivo"
"2150"," jipijapa muertes aningenierouno an hecho prueba coronavirus sale contagiado mmmm","Positivo"
"2151","yqueestan esperando anunciar toque queda horas","Positivo"
"2152","quito dia hoy parara nunca","Positivo"
"2153"," suburbio muertos afuera adentroquellevan diasde casas losquemueren hospitales afuera adentro digan vrdd q gente tome conciencia quede casa gente terca bo oculten nadaaaa virus llego punto contagio paciente aninados qur hicieron megafiesta quedarxe casa mejor opcion","Negativo"
"2154","ecuador presenta cerca casos pese densidad poblacional menor brazil chile unicamente personas fallecidas recuperados ecuador personas fallecidas unicamente recuperados ineptitusted respondan menos verdad pueden eficientes","Positivo"
"2155","cifras falsas existencia dios jajajajajajjajaja","Positivo"
"2156"," datos realidad oh casualidad justo ayer hoy aumento menos contagiados positivos mentira senores nunca dar cifra real resulta haciendo pruebas unico hacen valorar decirte si sintomas ud coronavirus quedese casa tome compre receta medicamentos dan entonces osan decir cantidad contagios cientos personas realizado prueba diagnostico oficial","Positivo"
"2157","escribo italia italiana esposo ecuatoriano ahora atrapado alli incluso si crees datos dicen verdaderos razon quedarte casa infecciones reducen mitad gracias leyes sentido comun personas dicen mismo diciendo ahora despues semanas comenzamos cambio esperamos continue ","Positivo"
"2158"," cementerio suburbio entierre muertos misma familia haciendo huecos","Negativo"
"2159"," gente inconsciente respeta quiere salir vehiculo gente pobre porqueellos carros viendo nuevoquelos ricos andan queriendo seguir incrementando ganancias abriendo locales negocios","Positivo"
"2160"," datos sospechas deberian darse yaquese deberia pronto pruebas seguir descargando positivos negativos tenerlos sospechas muriendo gentequedespues presenta sintomas tarde realizar algun tratamiento","Positivo"
"2161"," pena tipo autoridades cargos altos menor idea pasando salgan comentarios lugar ves peor tratando personas animales hora tomen cartas asunto pongan gente preparada vale pena","Negativo"
"2162"," balance estadistico falso balances betty","Positivo"
